"Time","Min","Max","Avg"
"1.00E-2","24.923","25.422","25.027"
"1.50E-2","24.892","25.487","25.032"
"2.00E-2","24.877","25.656","25.048"
"2.50E-2","24.872","25.781","25.059"
"3.00E-2","24.905","25.957","25.073"
"3.50E-2","24.901","25.997","25.089"
"4.00E-2","24.913","26.197","25.11"
"4.50E-2","24.934","26.13","25.122"
"5.00E-2","24.956","26.196","25.136"
"5.50E-2","24.953","26.314","25.144"
"6.00E-2","24.961","26.235","25.157"
"6.50E-2","24.977","26.31","25.17"
"7.00E-2","24.977","26.262","25.174"
"7.50E-2","24.97","26.659","25.192"
"8.00E-2","24.985","27.014","25.203"
"8.50E-2","24.985","27.043","25.218"
"9.00E-2","24.998","27.223","25.227"
"9.50E-2","24.997","27.139","25.237"
"0.1","24.999","27.033","25.25"
"0.105","24.997","27.004","25.264"
"0.11","24.995","26.741","25.268"
"0.115","24.994","26.493","25.271"
"0.12","24.975","26.332","25.272"
"0.125","24.953","26.3","25.277"
"0.13","24.972","26.568","25.287"
"0.135","24.977","26.704","25.296"
"0.14","24.964","26.905","25.3"
"0.145","24.973","27.007","25.313"
"0.15","24.988","26.994","25.321"
"0.155","24.995","27.073","25.336"
"0.16","24.995","27.08","25.349"
"0.165","24.993","26.83","25.346"
"0.17","24.994","26.895","25.36"
"0.175","24.996","26.919","25.365"
"0.18","24.999","27.023","25.372"
"0.185","25","27.02","25.381"
"0.19","25","27.162","25.385"
"0.195","25.002","26.983","25.398"
"0.2","25.002","27.071","25.405"
"0.205","25.003","27.158","25.408"
"0.21","25.003","27.125","25.411"
"0.215","25.003","27.085","25.415"
"0.22","25.004","27.013","25.412"
"0.225","25.004","27.108","25.417"
"0.23","25.002","27.108","25.417"
"0.235","24.994","27.202","25.426"
"0.24","25.004","27.131","25.432"
"0.245","25.004","27.076","25.435"
"0.25","25.004","27.121","25.437"
"0.255","25.004","27.073","25.44"
"0.26","25.005","27.055","25.446"
"0.265","25.006","27.024","25.45"
"0.27","25.008","27.012","25.451"
"0.275","25.01","26.873","25.453"
"0.28","25.01","26.806","25.455"
"0.285","25.01","26.703","25.455"
"0.29","25.011","26.593","25.455"
"0.295","25.012","26.636","25.453"
"0.3","25.012","26.564","25.448"
"0.305","25.013","26.517","25.446"
"0.31","25.015","26.56","25.448"
"0.315","25.003","26.465","25.445"
"0.32","25.016","26.547","25.445"
"0.325","25.019","26.508","25.446"
"0.33","25.021","26.559","25.445"
"0.335","25.022","26.595","25.443"
"0.34","25.022","26.685","25.441"
"0.345","25.024","26.707","25.442"
"0.35","25.025","26.696","25.439"
"0.355","25.026","26.613","25.436"
"0.36","25.028","26.541","25.432"
"0.365","25.03","26.531","25.43"
"0.37","25.032","26.464","25.429"
"0.375","25.034","26.409","25.424"
"0.38","25.036","26.442","25.42"
"0.385","25.039","26.437","25.417"
"0.39","25.04","26.44","25.414"
"0.395","25.042","26.378","25.411"
"0.4","25.043","26.292","25.407"
"0.405","25.045","26.235","25.404"
"0.41","25.046","26.181","25.401"
"0.415","25.048","26.123","25.398"
"0.42","25.049","26.088","25.398"
"0.425","25.052","26.058","25.396"
"0.43","25.054","26.025","25.394"
"0.435","25.056","25.979","25.39"
"0.44","25.058","25.955","25.388"
"0.445","25.06","25.932","25.387"
"0.45","25.061","25.911","25.386"
"0.455","25.064","25.892","25.385"
"0.46","25.065","25.875","25.384"
"0.465","25.067","25.858","25.387"
"0.47","25.068","25.842","25.386"
"0.475","25.071","25.829","25.386"
"0.48","25.073","25.817","25.385"
"0.485","25.075","25.806","25.387"
"0.49","25.077","25.792","25.39"
"0.495","25.079","25.821","25.39"
"0.5","25.081","25.789","25.391"
"0.505","25.083","25.877","25.394"
"0.51","25.086","25.883","25.4"
"0.515","25.087","25.927","25.402"
"0.52","25.089","25.878","25.403"
"0.525","25.091","25.947","25.407"
"0.53","25.093","25.97","25.408"
"0.535","25.095","25.952","25.409"
"0.54","25.098","25.967","25.41"
"0.545","25.1","25.952","25.413"
"0.55","25.103","26.04","25.42"
"0.555","25.105","26.066","25.423"
"0.56","25.107","26.067","25.428"
"0.565","25.109","26.101","25.435"
"0.57","25.111","26.232","25.442"
"0.575","25.112","26.293","25.445"
"0.58","25.114","26.421","25.452"
"0.585","25.117","26.347","25.456"
"0.59","25.119","26.35","25.464"
"0.595","25.121","26.595","25.469"
"0.6","25.123","26.5","25.477"
"0.605","25.126","26.483","25.483"
"0.61","25.128","26.474","25.489"
"0.615","25.13","26.512","25.487"
