"Time","Min","Max","Avg"
"0.62","25.131","26.494","25.498"
"0.625","25.134","26.519","25.504"
"0.63","25.136","26.6","25.511"
"0.635","25.138","26.618","25.519"
"0.64","25.14","26.718","25.531"
"0.645","25.142","26.64","25.537"
"0.65","25.144","26.649","25.542"
"0.655","25.146","26.71","25.542"
"0.66","25.148","26.684","25.55"
"0.665","25.151","26.601","25.552"
"0.67","25.152","26.539","25.552"
"0.675","25.154","26.753","25.562"
"0.68","25.157","27.099","25.569"
"0.685","25.159","27.101","25.578"
"0.69","25.158","27.123","25.578"
"0.695","25.163","27.019","25.582"
"0.7","25.166","26.962","25.589"
"0.705","25.169","26.878","25.594"
"0.71","25.171","26.743","25.594"
"0.715","25.172","26.588","25.592"
"0.72","25.175","26.479","25.59"
"0.725","25.179","26.461","25.592"
"0.73","25.181","26.658","25.596"
"0.735","25.183","26.78","25.602"
"0.74","25.185","26.892","25.6"
"0.745","25.187","26.862","25.602"
"0.75","25.189","26.936","25.608"
"0.755","25.192","27.05","25.622"
"0.76","25.194","27.064","25.631"
"0.765","25.193","26.863","25.628"
"0.77","25.197","26.83","25.632"
"0.775","25.2","26.849","25.637"
"0.78","25.201","26.851","25.638"
"0.785","25.203","26.87","25.642"
"0.79","25.206","26.982","25.646"
"0.795","25.21","26.842","25.658"
"0.8","25.211","26.915","25.664"
"0.805","25.214","26.984","25.665"
"0.81","25.217","26.976","25.671"
"0.815","25.22","26.998","25.677"
"0.82","25.222","26.93","25.675"
"0.825","25.225","27.016","25.679"
"0.83","25.228","27.057","25.681"
"0.835","25.232","27.098","25.689"
"0.84","25.234","27.041","25.693"
"0.845","25.237","27.088","25.696"
"0.85","25.24","27.182","25.701"
"0.8525","25.241","27.275","25.707"
"0.855","25.242","27.236","25.708"
"0.85875","25.244","27.176","25.711"
"0.86375","25.248","27.163","25.715"
"0.86875","25.252","27.183","25.719"
"0.87375","25.255","27.078","25.721"
"0.87875","25.258","26.941","25.718"
"0.88375","25.261","26.876","25.721"
"0.88875","25.265","26.774","25.722"
"0.89375","25.268","26.701","25.721"
"0.89875","25.27","26.642","25.719"
"0.90375","25.274","26.631","25.719"
"0.90875","25.277","26.63","25.722"
"0.91375","25.28","26.603","25.72"
"0.91875","25.284","26.659","25.721"
"0.92375","25.288","26.673","25.724"
"0.92875","25.292","26.752","25.724"
"0.93375","25.295","26.742","25.722"
"0.93875","25.298","26.88","25.72"
"0.94375","25.302","26.895","25.723"
"0.94875","25.306","27.004","25.723"
"0.95375","25.309","26.87","25.722"
"0.95875","25.313","26.837","25.721"
"0.96375","25.316","26.809","25.722"
"0.96875","25.319","26.698","25.721"
"0.97375","25.323","26.641","25.718"
"0.97875","25.326","26.649","25.716"
"0.98375","25.331","26.669","25.714"
"0.98875","25.335","26.641","25.713"
"0.99375","25.338","26.624","25.711"
"0.99688","25.341","26.577","25.709"
"1","25.343","26.529","25.707"
"1.01","25.236","26.419","25.724"
"1.02","25.168","26.509","25.78"
"1.035","24.979","27.957","25.951"
"1.05","24.862","29.87","26.222"
"1.07","25.12","32.05","26.625"
"1.09","25.298","34.286","26.924"
"1.11","25.548","37.778","27.319"
"1.13","25.579","40.71","27.771"
"1.15","25.612","43.035","28.252"
"1.17","25.642","44.448","28.676"
"1.185","25.672","45.13","29.025"
"1.2","25.704","46.015","29.381"
"1.2112","25.028","45.978","29.612"
"1.2197","24.46","45.019","29.784"
"1.226","21.168","44.576","29.843"
"1.2308","18.587","44.793","29.916"
"1.2343","14.896","44.662","29.908"
"1.237","11.87","44.568","29.887"
"1.239","13.623","45.218","30.033"
"1.24","8.8753","45.11","30.001"
"1.241","10.571","45.311","30.024"
"1.242","4.5256","45.214","30.008"
"1.243","5.9846","45.25","29.986"
"1.244","5.1597","45.107","29.968"
"1.245","4.9959","45.02","29.935"
"1.246","5.0341","45.307","29.931"
"1.247","5.0165","45.339","29.923"
"1.248","2.9735","45.432","29.854"
"1.249","3.4913","45.275","29.85"
"1.25","5.6191","45.545","29.897"
"5","6.0912","45.467","29.901"
"20","-9.878","45.379","29.73"
