"Time","Min","Max","Avg"
"1.00E-2","24.977","25.003","24.999"
"1.50E-2","24.984","25.005","24.999"
"2.00E-2","24.983","25.006","24.999"
"2.50E-2","24.969","25.015","24.999"
"2.67E-2","24.972","25.015","24.998"
"2.85E-2","24.971","25.015","24.998"
"3.11E-2","24.973","25.011","24.998"
"3.51E-2","24.971","25.011","24.998"
"4.01E-2","24.974","25.008","24.998"
"4.51E-2","24.968","25.005","24.998"
"5.01E-2","24.961","25.006","24.998"
"5.51E-2","24.958","25.006","24.998"
"6.01E-2","24.957","25.007","24.999"
"6.51E-2","24.964","25.008","24.999"
"7.01E-2","24.963","25.011","24.999"
"7.51E-2","24.963","25.012","24.999"
"8.01E-2","24.957","25.014","24.999"
"8.51E-2","24.964","25.014","24.999"
"9.01E-2","24.964","25.015","24.999"
"9.51E-2","24.954","25.016","25"
"0.10006","24.964","25.017","25"
"0.10506","24.968","25.018","25"
"0.11006","24.977","25.019","25.001"
"0.11506","24.973","25.021","25.001"
"0.12006","24.964","25.021","25"
"0.12506","24.968","25.021","25.001"
"0.13006","24.974","25.022","25.001"
"0.13506","24.971","25.021","25.001"
"0.14006","24.966","25.021","25.001"
"0.14506","24.962","25.021","25.001"
"0.15006","24.965","25.021","25.001"
"0.15506","24.959","25.021","25.001"
"0.16006","24.962","25.021","25.001"
"0.16506","24.966","25.022","25.001"
"0.17006","24.975","25.022","25.001"
"0.17506","24.958","25.025","25.002"
"0.18006","24.956","25.021","25.002"
"0.18506","24.944","25.022","25.002"
"0.19006","24.953","25.02","25.002"
"0.19506","24.961","25.022","25.002"
"0.20006","24.959","25.022","25.003"
"0.20506","24.946","25.023","25.002"
"0.21006","24.947","25.024","25.003"
"0.21506","24.94","25.02","25.003"
"0.22006","24.943","25.025","25.003"
"0.22506","24.942","25.023","25.003"
"0.23006","24.932","25.025","25.003"
"0.23506","24.928","25.025","25.003"
"0.24006","24.93","25.026","25.003"
"0.24506","24.951","25.022","25.004"
"0.25006","24.934","25.026","25.004"
"0.25506","24.929","25.028","25.004"
"0.26006","24.927","25.028","25.004"
"0.26506","24.92","25.029","25.004"
"0.27006","24.911","25.03","25.004"
"0.27506","24.915","25.031","25.005"
"0.28006","24.927","25.032","25.005"
"0.28506","24.935","25.034","25.006"
"0.29006","24.927","25.035","25.006"
"0.29506","24.917","25.036","25.007"
"0.30006","24.924","25.037","25.007"
"0.30506","24.911","25.038","25.007"
"0.31006","24.913","25.038","25.007"
"0.31506","24.923","25.038","25.008"
"0.32006","24.943","25.039","25.009"
"0.32506","24.942","25.039","25.009"
"0.33006","24.939","25.039","25.009"
"0.33506","24.937","25.039","25.01"
"0.34006","24.951","25.039","25.011"
"0.34506","24.973","25.038","25.011"
"0.35006","24.987","25.038","25.012"
"0.35506","24.988","25.037","25.012"
"0.36006","24.997","25.037","25.013"
"0.36506","25.002","25.037","25.014"
"0.37006","25.003","25.036","25.014"
"0.37506","25.004","25.037","25.015"
"0.38006","25.005","25.037","25.015"
"0.38506","25.005","25.036","25.016"
"0.39006","25.006","25.036","25.016"
"0.39506","25.006","25.037","25.016"
"0.40006","25.006","25.036","25.017"
"0.40506","25.006","25.036","25.017"
"0.41006","25.006","25.038","25.018"
"0.41506","25.006","25.035","25.018"
"0.42006","25.004","25.035","25.018"
"0.42506","25.001","25.039","25.018"
"0.43006","24.994","25.037","25.019"
"0.43506","24.995","25.036","25.019"
"0.44006","24.996","25.036","25.019"
"0.44506","25.001","25.04","25.02"
"0.45006","25.004","25.04","25.02"
"0.45506","25.006","25.039","25.021"
"0.46006","25.009","25.046","25.022"
"0.46506","24.983","25.042","25.021"
"0.47006","24.979","25.04","25.021"
"0.47506","24.988","25.039","25.022"
"0.48006","24.971","25.043","25.022"
"0.48506","24.962","25.044","25.022"
"0.49006","24.943","25.041","25.022"
"0.49506","24.936","25.046","25.022"
"0.50006","24.914","25.045","25.022"
"0.50506","24.908","25.046","25.022"
"0.51006","24.909","25.044","25.022"
"0.51506","24.927","25.045","25.023"
"0.52006","24.902","25.043","25.023"
"0.52506","24.872","25.044","25.023"
"0.53006","24.859","25.042","25.023"
"0.53506","24.881","25.05","25.024"
"0.54006","24.858","25.049","25.024"
"0.54506","24.831","25.044","25.024"
"0.55006","24.883","25.044","25.024"
"0.55506","24.877","25.046","25.025"
"0.56006","24.851","25.047","25.025"
"0.56506","24.826","25.048","25.025"
"0.57006","24.819","25.051","25.025"
"0.57506","24.814","25.052","25.025"
"0.58006","24.793","25.052","25.025"
"0.58506","24.79","25.052","25.025"
"0.59006","24.831","25.052","25.026"
"0.59506","24.822","25.053","25.027"
"0.60006","24.806","25.053","25.028"
"0.60506","24.755","25.062","25.027"
"0.61006","24.796","25.056","25.028"
"0.61506","24.789","25.06","25.028"
"0.62006","24.777","25.058","25.029"
"0.62506","24.756","25.06","25.03"
"0.63006","24.756","25.061","25.03"
"0.63506","24.76","25.062","25.031"
"0.64006","24.798","25.064","25.032"
"0.64506","24.752","25.065","25.032"
"0.65006","24.773","25.067","25.033"
"0.65506","24.782","25.068","25.033"
"0.66006","24.788","25.069","25.034"
"0.66506","24.834","25.071","25.035"
"0.67006","24.842","25.071","25.036"
"0.67506","24.834","25.072","25.037"
"0.68006","24.824","25.073","25.038"
"0.68506","24.863","25.074","25.038"
