"Time","Min","Max","Avg"
"0.62","25.132","26.494","25.498"
"0.625","25.134","26.52","25.504"
"0.63","25.136","26.6","25.511"
"0.635","25.138","26.619","25.52"
"0.64","25.14","26.718","25.531"
"0.645","25.142","26.64","25.537"
"0.65","25.144","26.649","25.542"
"0.655","25.146","26.71","25.542"
"0.66","25.149","26.684","25.55"
"0.665","25.151","26.602","25.553"
"0.67","25.153","26.54","25.553"
"0.675","25.155","26.754","25.562"
"0.68","25.157","27.1","25.569"
"0.685","25.16","27.101","25.578"
"0.69","25.158","27.122","25.578"
"0.695","25.163","27.015","25.582"
"0.7","25.167","26.96","25.589"
"0.705","25.169","26.878","25.594"
"0.71","25.171","26.742","25.594"
"0.715","25.173","26.587","25.592"
"0.72","25.175","26.478","25.59"
"0.725","25.179","26.461","25.592"
"0.73","25.181","26.658","25.597"
"0.735","25.183","26.782","25.602"
"0.74","25.186","26.893","25.6"
"0.745","25.187","26.862","25.602"
"0.75","25.189","26.936","25.608"
"0.755","25.193","27.049","25.622"
"0.76","25.194","27.064","25.631"
"0.765","25.194","26.863","25.628"
"0.77","25.198","26.83","25.632"
"0.775","25.2","26.852","25.638"
"0.78","25.202","26.853","25.639"
"0.785","25.203","26.871","25.643"
"0.79","25.207","26.983","25.647"
"0.795","25.21","26.843","25.659"
"0.8","25.211","26.913","25.664"
"0.805","25.214","26.984","25.665"
"0.81","25.217","26.975","25.671"
"0.815","25.22","26.997","25.677"
"0.82","25.222","26.93","25.675"
"0.825","25.225","27.016","25.679"
"0.83","25.229","27.06","25.681"
"0.835","25.232","27.099","25.689"
"0.84","25.234","27.042","25.693"
"0.845","25.237","27.089","25.697"
"0.85","25.24","27.183","25.702"
"0.8525","25.241","27.276","25.708"
"0.855","25.242","27.237","25.708"
"0.85875","25.244","27.177","25.711"
"0.86375","25.248","27.163","25.715"
"0.86875","25.252","27.183","25.719"
"0.87375","25.256","27.078","25.721"
"0.87875","25.258","26.941","25.719"
"0.88375","25.262","26.876","25.722"
"0.88875","25.265","26.774","25.723"
"0.89375","25.268","26.701","25.722"
"0.89875","25.27","26.641","25.719"
"0.90375","25.274","26.631","25.72"
"0.90875","25.278","26.63","25.722"
"0.91375","25.281","26.603","25.721"
"0.91875","25.284","26.659","25.722"
"0.92375","25.288","26.673","25.725"
"0.92875","25.292","26.753","25.725"
"0.93375","25.295","26.743","25.722"
"0.93875","25.298","26.88","25.72"
"0.94375","25.302","26.895","25.723"
"0.94875","25.306","27.005","25.723"
"0.95375","25.31","26.869","25.722"
"0.95875","25.313","26.837","25.721"
"0.96375","25.316","26.807","25.722"
"0.96875","25.32","26.697","25.721"
"0.97375","25.323","26.64","25.718"
"0.97875","25.327","26.648","25.716"
"0.98375","25.331","26.668","25.715"
"0.98875","25.335","26.641","25.713"
"0.99375","25.339","26.624","25.711"
"0.99688","25.341","26.577","25.709"
"1","25.343","26.529","25.707"
"1.01","25.236","26.419","25.724"
"1.02","25.17","26.503","25.78"
"1.035","24.979","27.954","25.951"
"1.05","24.862","29.868","26.222"
"1.07","25.121","32.048","26.625"
"1.09","25.298","34.287","26.925"
"1.11","25.548","37.786","27.321"
"1.13","25.58","40.717","27.772"
"1.15","25.612","43.04","28.253"
"1.17","25.642","44.452","28.678"
"1.185","25.672","45.133","29.026"
"1.2","25.704","46.017","29.382"
"1.2112","25.03","45.981","29.613"
"1.2197","24.46","45.022","29.786"
"1.2235","22.55","44.498","29.806"
"1.2263","20.135","44.127","29.804"
"1.2285","21.065","44.823","29.951"
"1.2306","17.344","44.813","29.924"
"1.2327","18.57","45.32","30.046"
"1.2359","13.68","45.149","30.008"
"1.2383","10.473","44.867","29.971"
"1.2401","12.321","45.509","30.09"
"1.2411","5.0489","45.389","30.067"
"1.2421","6.6843","45.41","30.046"
"1.2431","6.3811","45.406","30.037"
"1.2441","8.3789","45.761","30.081"
"1.2451","-4.6387","45.656","29.987"
"1.2461","1.2152","45.424","29.972"
"1.2471","3.9871","45.437","29.991"
"5","2.2573","45.298","29.775"
"20","-1.5513","45.307","29.894"
