"Time","Min","Max","Avg"
"1.00E-2","24.923","25.422","25.027"
"1.50E-2","24.892","25.487","25.032"
"2.00E-2","24.878","25.655","25.048"
"2.50E-2","24.872","25.78","25.059"
"3.00E-2","24.904","25.965","25.073"
"3.50E-2","24.9","25.998","25.09"
"4.00E-2","24.913","26.197","25.11"
"4.50E-2","24.932","26.139","25.123"
"5.00E-2","24.956","26.199","25.137"
"5.50E-2","24.95","26.32","25.146"
"6.00E-2","24.961","26.237","25.158"
"6.50E-2","24.977","26.313","25.171"
"7.00E-2","24.977","26.266","25.174"
"7.50E-2","24.971","26.653","25.192"
"8.00E-2","24.987","27.002","25.203"
"8.50E-2","24.987","27.037","25.218"
"9.00E-2","24.998","27.217","25.227"
"9.50E-2","24.997","27.132","25.237"
"0.1","24.999","27.026","25.25"
"0.105","24.997","26.998","25.264"
"0.11","24.995","26.735","25.268"
"0.115","24.994","26.489","25.271"
"0.12","24.975","26.327","25.272"
"0.125","24.953","26.301","25.277"
"0.13","24.971","26.568","25.287"
"0.135","24.977","26.703","25.296"
"0.14","24.964","26.903","25.3"
"0.145","24.973","27.005","25.312"
"0.15","24.988","26.992","25.32"
"0.155","24.995","27.071","25.336"
"0.16","24.995","27.078","25.349"
"0.165","24.993","26.828","25.346"
"0.17","24.994","26.894","25.36"
"0.175","24.996","26.917","25.365"
"0.18","24.999","27.025","25.372"
"0.185","25","27.02","25.381"
"0.19","25","27.161","25.385"
"0.195","25.002","26.983","25.398"
"0.2","25.002","27.069","25.405"
"0.205","25.003","27.157","25.408"
"0.21","25.003","27.124","25.411"
"0.215","25.003","27.08","25.415"
"0.22","25.004","27.012","25.412"
"0.225","25.004","27.107","25.417"
"0.23","25.002","27.107","25.417"
"0.235","24.994","27.2","25.426"
"0.24","25.004","27.129","25.432"
"0.245","25.004","27.075","25.435"
"0.25","25.004","27.12","25.437"
"0.255","25.004","27.072","25.44"
"0.26","25.005","27.054","25.446"
"0.265","25.006","27.022","25.45"
"0.27","25.008","27.01","25.451"
"0.275","25.01","26.871","25.453"
"0.28","25.01","26.805","25.455"
"0.285","25.01","26.702","25.455"
"0.29","25.011","26.592","25.455"
"0.295","25.012","26.635","25.453"
"0.3","25.012","26.562","25.448"
"0.305","25.014","26.515","25.446"
"0.31","25.015","26.559","25.448"
"0.315","25.003","26.463","25.445"
"0.32","25.016","26.545","25.445"
"0.325","25.019","26.507","25.446"
"0.33","25.021","26.558","25.445"
"0.335","25.022","26.596","25.443"
"0.34","25.022","26.684","25.441"
"0.345","25.024","26.707","25.443"
"0.35","25.025","26.697","25.439"
"0.355","25.026","26.614","25.436"
"0.36","25.028","26.541","25.432"
"0.365","25.03","26.53","25.43"
"0.37","25.032","26.464","25.429"
"0.375","25.034","26.409","25.424"
"0.38","25.036","26.442","25.42"
"0.385","25.039","26.437","25.417"
"0.39","25.04","26.439","25.415"
"0.395","25.042","26.377","25.411"
"0.4","25.043","26.292","25.407"
"0.405","25.045","26.235","25.404"
"0.41","25.047","26.181","25.401"
"0.415","25.048","26.122","25.398"
"0.42","25.05","26.087","25.398"
"0.425","25.052","26.058","25.396"
"0.43","25.054","26.025","25.394"
"0.435","25.056","25.978","25.39"
"0.44","25.058","25.955","25.388"
"0.445","25.06","25.932","25.387"
"0.45","25.062","25.911","25.386"
"0.455","25.064","25.891","25.385"
"0.46","25.066","25.874","25.384"
"0.465","25.067","25.858","25.387"
"0.47","25.069","25.841","25.386"
"0.475","25.071","25.828","25.386"
"0.48","25.073","25.817","25.385"
"0.485","25.076","25.805","25.387"
"0.49","25.077","25.792","25.39"
"0.495","25.079","25.823","25.39"
"0.5","25.081","25.791","25.391"
"0.505","25.083","25.879","25.394"
"0.51","25.086","25.884","25.4"
"0.515","25.088","25.928","25.402"
"0.52","25.089","25.88","25.404"
"0.525","25.092","25.949","25.407"
"0.53","25.094","25.971","25.409"
"0.535","25.096","25.954","25.409"
"0.54","25.098","25.968","25.41"
"0.545","25.101","25.953","25.414"
"0.55","25.103","26.042","25.421"
"0.555","25.105","26.069","25.423"
"0.56","25.107","26.07","25.429"
"0.565","25.109","26.103","25.435"
"0.57","25.111","26.234","25.442"
"0.575","25.113","26.293","25.445"
"0.58","25.115","26.421","25.452"
"0.585","25.117","26.352","25.456"
"0.59","25.12","26.353","25.464"
"0.595","25.122","26.596","25.469"
"0.6","25.124","26.501","25.477"
"0.605","25.126","26.483","25.483"
"0.61","25.128","26.474","25.489"
"0.615","25.13","26.513","25.487"
